accession,Dataset,fits_new,outer_tepal_shape_(verbatim),outer_tepal_shape_cleansed,outer_tepal_lanceolate_acuminate,tepal_spread,tepal_spread_spreading,tepal_spread_curved,tepal_spread_twisted,tepal_spread_other,tepal_length_outer_inner_1,tepal_length_outer_inner_2,tepal_length_outer_inner_3,tepal_length_outer_inner_4,tepal_length_outer_inner_5,tepal_length_outer_inner_6,tepal_length_outer_inner_7,tepal_length_outer_inner_8,tepal_length_outer_inner_9,tepal_length_outer_inner_10,tepal_inner_length_avg,tepal_outer_length_avg,tepal_inner_outer_ratio_avg,inner_tepal_edges,inner_tepal_edges_ruffled,inner_tepal_edges_beaded,inner_tepal_edges_denticulate,inner_tepal_edges_undulate,inner_tepal_edges_scalloped,inner_tepal_edges_rolled,inner_tepal_edges_other,flowers_just_opening,flowers_per_inflo,flowers_per_info_avg,bulb_coat_reticulation,bulb-coat_honeycomb,bulb-coat_squarish,bulb-coat_irregular,bulb-coat_thickwalled,bulb-coat_sinuous,bulb-coat_variable,ovary_cresting,ovary_long_projections,notes,collection_date,country,state,county,elevation,elevation_calculated,latitude,longitude,within_lat_long_range
5125,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 10,10.5; 9,10.5; 9,10; 8,12.5; 9,NA,NA,NA,NA,NA,9.0000,10.9000,0.8287,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,12; 13,12.5,NA,NA,NA,NA,NA,NA,NA,No,No,Bulb glued down.  Unable to see coat reticulatio,1889/05/29,U.S.A.,WA,King,8.14,8.14,47.57639,-122.40861,0
5173,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading; twisted,Yes,No,Yes,NA,11; 10,11; 9,11; 9,11; 10,10.5; 9,NA,NA,NA,NA,NA,9.4000,10.9000,0.8623,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,40; 34,37,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,1893/06/28,U.S.A.,WA,Whitman,724.5,724.5,46.73139,-117.17861,0
5397,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 10,12; 10,12; 10,12; 11,11; 9.5,13; 9,NA,NA,NA,NA,9.9167,11.8333,0.8414,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,21; 23; 14,19.33333333,NA,NA,NA,NA,NA,NA,NA,Yes,No,No bulb,1923/05,U.S.A.,WA,Island,-0.17,-0.17,48.04028,-122.405,0
15226,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,8; 7,8.5; 8,8; 7,9; 8,9; 8,10; 8.5,9; 8,NA,NA,NA,7.7857,8.7857,0.8868,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,19; 17; 23; 15; 19; 19; 26,19.71428571,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,Yes,No,,NA,NA,NA,NA,1386.7,1386.7,43.92267,-118.93325,0
21430,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,12; 10,13; 10,13; 11,NA,NA,NA,NA,NA,NA,NA,10.3333,12.6667,0.8162,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,20; 6,13,NA,NA,NA,NA,NA,NA,NA,No,No,Fruits dispersing; no bulb,1931/07,U.S.A.,WA,Clallam,1220,1565.45,47.957247,-123.445581,0
26389,2,No,even taper,even taper,No,spreading-curved,Yes,Yes,No,NA,12.5; 12,10; 11,12.5; 11.5,NA,NA,NA,NA,NA,NA,NA,11.5000,11.6667,0.9933,ruffled,Yes,No,No,No,No,No,NA,FALSE,21; 25; 19; 25; 18,21.6,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,1933/07/17,U.S.A.,OR,Wasco,1372,1122.2,45.412237,-121.445454,0
40513,2,No,even taper,even taper,No,some spreading,Some,No,No,NA,11.5; 11,12.5; 11.5,NA,NA,NA,NA,NA,NA,NA,NA,11.2500,12.0000,0.9383,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,36; 23; 22,27,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,1933/07/17,U.S.A.,OR,Wasco,1372,1122.2,45.412237,-121.445454,0
43871,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 10,12; 10,11.5; 9.5,11; 10,10.5; 9.5,NA,NA,NA,NA,NA,9.8000,11.2000,0.8765,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,14; 12,13,NA,NA,NA,NA,NA,NA,NA,No,No,,1927/04,U.S.A.,WA,Snohomish,6.78,6.78,48.05194,-122.17583,0
45562,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 9,9.5; 8.5,9; 8,9; 8.5,9; 8,8.5; 8,8.5; 8,9; 8,NA,NA,8.2500,9.0625,0.9110,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,18; 9; 11; 14; 11; 16; 13; 17; 13; 16; 12; 18; 18; 16; 8,14,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,1938/06/25,U.S.A.,ID,Butte,1616,1693.38,43.491823,-113.29944,0
51679,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10.5; 10,10; 9.5,10.5; 9.5,9.5; 9,10; 9,10; 10,9.5; 9,NA,NA,NA,9.4286,10.0000,0.9431,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,11; 11; 15; 13; 7; 13,11.66666667,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,Yes,No,,1936/06/24,U.S.A.,ID,Latah,783.78,783.78,46.92167,-116.89722,0
51680,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,13; 11,13; 10,10.5; 9,12; 10.5,10; 9,NA,NA,NA,NA,NA,9.9000,11.7000,0.8495,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,11; 12; 8; 14; 20; 6; 12,11.85714286,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,1936/06/26,U.S.A.,OR,NA,2416.67,2416.67,45.225285,-117.259178,0
55747,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 8.5,8; 7,11; 10,11; 10,10; 8.5,NA,NA,NA,NA,NA,11.3571,12.6429,0.8632,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,7; 7; 5; 9; 9; 11,8,NA,NA,NA,NA,NA,NA,NA,No,No,No bulb,NA,NA,NA,NA,3.62,3.62,48.91806,-122.74333,0
56629,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,14; 12,13; 11,13; 10.5,12.5; 12,12; 11.5,13; 12.5,11; 10,NA,NA,NA,8.8000,10.2000,0.9000,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,3; 5; 8; 5; 9; 11; 11,7.428571429,honeycomb; slightly varied,Yes,No,No,No,No,some,No,No,,1935/07/03,U.S.A.,OR,Multnomah,84.18,84.18,45.610155,-122.009631,0
84613,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,7.5; 7.5,9; 9,11; 11,10; 9.5,10.5; 10.5,9; 8.5,9; 7.5,NA,NA,NA,9.0714,9.4286,0.9611,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,24; 21; 20; 13,19.5,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,1940/05/17,U.S.A.,WA,Grant,561.73,561.73,47.723105,-119.285965,0
93887,2,Unsure,gradual taper,gradual taper,No,some spreading,Some,No,No,NA,12; 11,13; 12,13.5; 13,NA,NA,NA,NA,NA,NA,NA,12.0000,12.8333,0.9342,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,10; 4; 10,8,honeycomb; somewhat thick walled,Yes,No,No,some,No,No,No,Yes,,1944/05/27,U.S.A.,WA,Whitman,816.38,816.38,46.47351,-117.04433,0
93892,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 8,9; 8,8.5; 8.5,9; 8.5,NA,NA,NA,NA,NA,NA,8.2500,9.1250,0.9083,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,15; 5,10,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,1944/06/02,U.S.A.,ID,Boise,1085.13,1085.13,43.51099,-116.06198,0
105335,2,Yes,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,9; 8,10; 8,11.5; 10.5,12; 10.5,11; 9.5,10.5; 10,10; 8.5,NA,NA,NA,9.2857,10.5714,0.8776,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,24; 19; 20; 26; 23,22.4,honeycomb,Yes,No,No,No,No,No,Yes,Yes,,1946/06/24,U.S.A.,ID,Adams,1211.26,1211.26,44.96111,-116.24278,0
105540,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 10,12; 11,11.5; 10,12; 10,NA,NA,NA,NA,NA,NA,10.2500,11.6250,0.8822,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,10; 22; 11; 17; 18,15.6,squarish; honeycomb; very irregular,Yes,Yes,Yes,No,No,No,No,No,,1946/06/23,U.S.A.,ID,Washington,1368.17,1368.17,44.540773,-116.96833,0
111646,2,No,lanceolate-acuminate,lanceolate-acuminate,Yes,not very spreading,No,No,No,NA,9.5; 8.5,10; 8.5,9.5; 9,10; 9,9; 8.5,NA,NA,NA,NA,NA,8.7000,9.6000,0.9073,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,17; 17; 15,16.33333333,NA,NA,NA,NA,NA,NA,NA,No,No,no bulb,1946/06/14,U.S.A.,OR,Harney,2107.71,2107.71,42.753177,-118.693873,0
114210,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,mostly spreading-curved,Yes,Yes,No,NA,9; 7.5,9; 8.5,7; 7,8.5; 8,NA,NA,NA,NA,NA,NA,7.7500,8.3750,0.9297,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,17; 7; 14; 14; 14; 17; 13; 13; 9,13.11111111,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,1947/06/19,U.S.A.,ID,Elmore,1354.47,1354.47,43.51314,-115.31111,0
118183,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,mostly spreading-curved,Yes,Yes,No,NA,9; 8.5,8.5; 8,9; 8,9; 8,9; 8,NA,NA,NA,NA,NA,8.1000,8.9000,0.9105,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,13; 12; 14; 13,13,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,1946/06/04,U.S.A.,WA,Adams,541.21,541.21,47.060822,-118.05583,0
118464,2,Unsure,sharp taper; lanceolate-acuminate,sharp taper; lanceolate-acuminate,Yes,spreading,Yes,No,No,NA,10; 9.5,11; 9,11; 10.5,NA,NA,NA,NA,NA,NA,NA,9.6667,10.6667,0.9076,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,14; 16; 14; 16,15,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,1946/06/29,U.S.A.,OR,Wallowa,1285.94,1285.94,45.290298,-116.990947,0
125034,1,No,lanceolate-acuminate; tips very narrow,lanceolate-acuminate; narrow tips,Yes,mostly spreading-curved,Yes,Yes,No,NA,10; 10,9; 9,NA,NA,NA,NA,NA,NA,NA,NA,9.5000,9.5000,1.0000,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,11; 9; 12; 18,12.5,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,1948/06/19,U.S.A.,WA,Okanogan,558.16,558.16,48.50753,-120.18568,0
134815,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 8,10.5; 9,10; 8,8.5; 8,8; 7.5,9; 9,10; 8.5,NA,NA,NA,8.2857,9.4286,0.8837,ruffled,Yes,No,No,No,No,No,NA,FALSE,27; 17,22,NA,NA,NA,NA,NA,NA,NA,No,No,,1910/05/18,U.S.A.,ID,Canyon,689.02,689.02,43.969886,-116.81904,0
135211,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,13; 10,12.5; 10,10; 8.5,12; 10,13; 10,NA,NA,NA,NA,NA,9.7000,12.1000,0.8044,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,9; 9; 8; 12,9.5,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,1950/06/11,U.S.A.,WA,Island,144.3,144.3,48.40164,-122.63926,0
138864,2,No,gradual taper,gradual taper,No,some spreading,Some,No,No,NA,8; 7,8.5; 7.5,NA,NA,NA,NA,NA,NA,NA,NA,7.2500,8.2500,0.8787,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,16; 13; 13; 20; 18; 18; 15,16.14285714,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,1949/07/01,U.S.A.,ID,Adams,1211.26,1211.26,44.96111,-116.24278,0
139089,2,No,sharp,sharp taper,No,some spreading,Some,No,No,NA,11; 10,10; 9.5,10; 10,9; 8,9; 8.5,NA,NA,NA,NA,NA,9.2000,9.8000,0.9385,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,"8, 4, 5, 8, 8, 6",6.5,irregular; hoenycomb; not thick walled,Yes,No,Yes,No,No,No,No,No,,1946/08/03,U.S.A.,WA,Chelan,639.8,639.8,47.562003,-120.779518,0
141982,2,No,gradual taper,gradual taper,No,some spreading,Some,No,No,NA,10; 9.5,10; 9.5,11; 10,NA,NA,NA,NA,NA,NA,NA,9.6667,10.3333,0.9364,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,20; 22; 31; 9; 10,18.4,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,1950/07/11,U.S.A.,ID,Idaho,545.82,545.82,45.406973,-116.329954,0
144378,2,No,sharp taper to tip; lanceolate-acuminate,sharp taper; lanceolate-acuminate,Yes,some spreading,Some,No,No,NA,12; 10,11; 9,NA,NA,NA,NA,NA,NA,NA,NA,9.5000,11.5000,0.8258,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,18; 16; 17; 29,20,NA,NA,NA,NA,NA,NA,NA,Yes,No,,1950/06/11,U.S.A.,OR,Baker,684.85,684.85,44.90988,-116.949886,0
144381,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 10,11.5; 10,11; 10,12; 11,11; 10.5,NA,NA,NA,NA,NA,10.3000,11.3000,0.9118,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,25; 18; 19,20.66666667,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,Yes,No,,1950/06/25,U.S.A.,OR,Wheeler,915,1020.72,44.9025,-120.0771,0
152678,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,9; 8,9; 7,8; 7,8; 7,8; 7,8.5; 7.5,9; 7,NA,NA,NA,7.2143,8.5000,0.8503,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,8; 10; 6; 8; 5; 12; 4; 7,7.5,squarish; honeycomb; slightly variable,Yes,Yes,No,No,No,some,Yes,No,,1952/07/17,U.S.A.,OR,Grant,2041.38,2041.38,44.988007,-118.359713,0
156211,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,12.5; 11.5,12; 11,11; 10,11.5; 10.5,12; 11,12; 10.5,11; 10.5,,NA,NA,10.7143,11.7143,0.9150,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,25; 16; 16; 21,19.5,squarish; honeycomb; slightly variable,Yes,Yes,No,No,No,some,Yes,No,,1953/06/13,U.S.A.,OR,Sherman,518,524.42,45.5112,-120.6792,0
160704,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 9,10; 9,9; 8.5,9; 8.5,10; 8.5,9; 8,10.5; 9,NA,NA,NA,8.6429,9.6429,0.8978,very ruffled-beaded,Yes,Some,No,No,No,No,NA,FALSE,26; 20; 26; 25,24.25,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,1954/06/21,U.S.A.,ID,Adams,1389.17,1389.17,44.77814,-116.36252,0
163114,2,No,even taper,even taper,No,some spreading,Some,No,No,NA,12; 10.5,12; 11,14; 13,NA,NA,NA,NA,NA,NA,NA,11.5000,12.6667,0.9067,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,23; 17,20,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,1953/06/09,U.S.A.,OR,Jefferson,701,747.93,44.6304,-121.18,0
169136,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading; twisted,Yes,No,Yes,NA,10; 9,10; 9,9; 8,9.5; 9,NA,NA,NA,NA,NA,NA,8.7500,9.6250,0.9091,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,12; 12; 10; 11,11.25,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,1949/06/26,U.S.A.,WA,Asotin,1194.22,1194.22,46.114521,-117.160938,0
173273,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 9,10.5; 9,11; 10,10.5; 9.5,11; 10,12; 9,9.5; 9,11; 10,NA,NA,9.4375,10.6875,0.8858,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,12; 22; 23,19,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,1955/05/30,U.S.A.,OR,Malheur,857.01,857.01,44.246263,-117.476698,0
173848,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,12; 10,11.5; 10.5,13; 11,11.5; 10.5,11; 10,10.5; 9.5,NA,NA,NA,NA,10.2500,11.5833,0.8866,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,13; 33; 37; 43,31.5,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,1956/05/27,U.S.A.,OR,Malheur,910.82,910.82,43.989762,-117.70785,0
177770,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,9; 8.5,9.5; 9,10; 9,9; 8,8; 7,NA,NA,NA,NA,NA,8.3000,9.1000,0.9111,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,19; 15; 13,15.66666667,honeycomb; irregular,Yes,No,Yes,No,No,No,No,No,,1949/05/29,U.S.A.,ID,Bannock,1428.87,1428.87,42.782663,-112.401417,0
181035,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,slightly-spreading,Some,No,No,NA,9; 8,10; 8,NA,NA,NA,NA,NA,NA,NA,NA,8.0000,9.5000,0.8444,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,12; 9; 9; 12; 3; 8; 8; 7; 3,7.888888889,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,1950/07/07,U.S.A.,OR,Grant,1028.2,1028.2,44.415682,-118.86135,0
188368,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,mostly spreading-curved,Yes,Yes,No,NA,8; 7.5,8.5; 8,8; 7.5,9; 8,9; 8,8; 7.5,9; 8,9; 8,NA,NA,7.8125,8.5625,0.9137,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,7; 8; 3; 11; 15; 14; 18; 20; 16,12.44444444,rectangular; honeycomb,Yes,Some,No,No,No,No,No,No,,1958/06/16,U.S.A.,ID,Cassia,1829,1355.56,42.347404,-113.355686,0
208825,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,9; 8,9; 8,8.5; 8,9; 8.5,10; 9,9; 8,NA,NA,NA,NA,8.2500,9.0833,0.9087,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,30; 25; 30; 18; 20; 24,24.5,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,1956/06/22,U.S.A.,OR,Lake,1494,1621.85,43.308726,-119.887151,0
215707,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 8.75,10; 8.5,9.5; 8.5,10; 8,10.5; 9,10; 9,9.5; 8.5,NA,NA,NA,8.6071,9.9286,0.8674,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,12; 9; 7; 12; 7,9.4,NA,NA,NA,NA,NA,NA,NA,No,No,,1961/06/06,Canada,BC,NA,1.18,1.18,49.465556,-124.73611,0
216165,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10.5; 9.5,8; 7.5,9; 8.5,10; 9,NA,NA,NA,NA,NA,NA,8.6250,9.3750,0.9217,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,23; 20,21.5,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,1963/06/19,U.S.A.,ID,Butte,1634.97,1634.97,43.605935,-113.341896,0
236334,2,No,sharp taper to tip; lanceolate-acuminate,sharp taper; lanceolate-acuminate,Yes,some spreading,Some,No,No,NA,13; 11,12; 11,13; 10,NA,NA,NA,NA,NA,NA,NA,10.6667,12.6667,0.8440,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,11; 16; 22; 13,15.5,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,1967/06/15,U.S.A.,ID,Washington,983.97,983.97,44.409115,-116.73361,0
243152,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,9.5; 9,9; 8,8; 8,9; 8,9; 8.5,NA,NA,NA,NA,NA,8.3000,8.9000,0.9339,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,45,45,NA,NA,NA,NA,NA,NA,NA,Yes,No,no bulb,1910/05/18,U.S.A.,ID,Canyon,671,689.02,43.969886,-116.81904,0
258005,2,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,12.5; 10,11; 9,NA,NA,NA,NA,NA,NA,NA,NA,9.5000,11.7500,0.8091,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,22; 21; 26; 26; 21; 12,21.33333333,squarish; honeycomb; not very thick-walled,Yes,Yes,No,No,No,No,No,No,,1971/07/11,U.S.A.,OR,Wallowa,1738,1753.81,45.242082,-117.075308,0
258544,2,No,even taper,even taper,No,some spreading,Some,No,No,NA,10; 8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5000,10.0000,0.8500,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,5,5,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,1973/07/15,U.S.A.,OR,Wallowa,1753,2439.18,45.193933,-117.340333,0
267211,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,9.5; 8.5,8.5; 8,10; 9,10; 11,NA,NA,NA,NA,NA,NA,9.1250,9.5000,0.9590,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,14; 13,13.5,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,1974/05,U.S.A.,ID,Idaho,833.42,833.42,45.820393,-115.827119,0
270946,2,No,lanceolate-acuminate,lanceolate-acuminate,Yes,not very spreading,No,No,No,NA,9.5; 9,8.5; 8.5,10; 9.5,8.5; 8,8.5; 8,NA,NA,NA,NA,NA,8.6000,9.0000,0.9559,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,12; 24; 32,22.66666667,squarish; irregular; honeycomb; not very thick-walled,Yes,Yes,Yes,No,No,No,No,No,,1977/06/21,U.S.A.,NA,NA,1115,1243,45.118768,-119.617537,0
278852,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,8; 7,8; 6.5,8.5; 8,10; 9,10; 8,9; 8,NA,NA,NA,NA,7.7500,8.9167,0.8696,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,15; 21; 18; 19,18.25,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,1979/06/06,U.S.A.,OR,Malheur,1181,1158.97,44.31252,-117.889406,0
282439,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,7.5; 7,8; 7,7.5; 7,8; 7,8; 7.5,8; 7,NA,NA,NA,NA,7.0833,7.8333,0.9049,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,10; 13; 9,10.66666667,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,NA,NA,NA,NA,1585.23,1585.23,42.074419,-120.705591,0
296067,2,No,sharp taper to tip; lanceolate-acuminate,sharp taper; lanceolate-acuminate,Yes,some spreading,Some,No,No,NA,9; 7,9; 7,9; 8,NA,NA,NA,NA,NA,NA,NA,7.3333,9.0000,0.8148,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,6; 8; 5; 11; 10; 10; 7; 12; 5; 5,7.9,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,1954/07/21,U.S.A.,ID,Idaho,2755.45,2755.45,45.30917,-116.55389,0
